date,time,username,name,tweet,polarity,sentiment
12/15/2020,19:14:24,sentoddyoung,Senator Todd Young,Today in Every person business amp industry has been impacted by this pandemic but the live entertainment industry has been hit especially hard amp so many more Hoosier companies are struggling My RESTARTact can help,0.138257576,positive
12/15/2020,15:20:15,tylertrussinc1,tylertrussllc,Thank you for all that you are doing and for standing up for our industry Michael Strickland amp RestartAct wemakeevents,0,neutral
12/15/2020,10:37:00,invenuealliance,Indiana Independent Venue Alliance,Happening Now Watch members of the live events industry testify before the Senate comittee in support of SaveOurStages Act and RestartAct,0.136363636,positive
12/15/2020,10:29:16,tylertrussinc1,tylertrussllc,Spurs ReStartAct,0,neutral
12/14/2020,18:15:24,l_acoustics,L Acoustics,Tomorrow a Senate Subcommittee will hold a hearing on the effects of COVID 19 on the liveevents sector Michael Strickland a vocal advocate for the industry will testify on the need for assistance RESTARTAct SaveLiveEventsNow ExtendPUA,0,neutral
12/11/2020,14:36:15,wilburfan,NascarFanWilbur,RESTARTAct was proposed in May hasn t passed woulda done some good in expanding the PPP but did NOT include direct stimulus checks Hawley on the other hand,0.225,positive
12/11/2020,8:52:07,emilyhmaresca,Emily Maresca,Save Live Music amp Entertainment RESTARTACT SAVEOURSTAGES ACT,0.136363636,positive
12/10/2020,17:34:33,jewettduncan,Duncan Jewett,The PPP funding isn t enough Average of 2 5 months payroll We are at 10 months with no work We need another 8 5 covered or at least make the PPP cover 6 months of payroll cost like RESTARTACT wanted Every week more places shut down for good,0.099074074,positive
12/10/2020,14:14:20,tylertrussinc1,tylertrussllc,Thank you for your support today on behalf of small businesses in Indiana amp the impact of the pandemic on our businesses PaycheckProtectionProgram RestartAct,-0.25,negative
12/10/2020,12:42:37,tylertrussinc1,tylertrussllc,We have been lucky to have Michael T Strickland be such an incredible advocate for our industry over this past 9 months RESTARTact,0.245833333,positive
12/6/2020,10:00:00,sentoddyoung,Senator Todd Young,As coronavirus relief negotiations in the Senate are ongoing I continue fighting for the inclusion of my RESTARTact which will help our hardest hit Hoosier businesses including many in Indiana s rich music community RESTARTamerica,0.4375,positive
12/5/2020,9:58:49,mongrelmusicbkg,Mongrel Music,Independent live music needs your help to survive SaveLiveMusic by letting your reps know you support the inclusion of the SaveOurStages Act HITSAct ExtendPUA and the RESTARTAct in the next relief bill by visiting,0.045454545,positive
12/5/2020,8:10:08,davidyuxx1,Davidyuxx,Across Indiana many small businesses have plummeting profits crippling rent payments and nearly insurmountable costs Now is the time to pass my RESTARTact so these businesses don t face permanent closure,0.116666667,positive
12/5/2020,8:00:01,sentoddyoung,Senator Todd Young,Across Indiana many small businesses have plummeting profits crippling rent payments and nearly insurmountable costs Now is the time to pass my RESTARTact so these businesses don t face permanent closure,0.116666667,positive
12/4/2020,16:27:09,mikedawsonmusic,Mike Dawson Roar Electra,I have written numerous letters Spoke with Congressional staffers Senators US House of Representatives Lame duck sessions have not produced needed relief for citizens of the United States The fight continues USCongress HITSACT RESTARTACT FPUCBENEFITS CARESACT CDFI MDI,-0.25,negative
12/4/2020,16:10:06,davidyuxx1,Davidyuxx,I applaud the many Hoosier small businesses like Indy s City Market that have found creative ways to stay open during this pandemic I will continue to push for bills like my RESTARTact to provide needed relief from the federal government,0.1875,positive
12/4/2020,15:45:00,sentoddyoung,Senator Todd Young,I applaud the many Hoosier small businesses like Indy s City Market that have found creative ways to stay open during this pandemic I will continue to push for bills like my RESTARTact to provide needed relief from the federal government,0.1875,positive
12/4/2020,14:09:58,tylertrussinc1,tylertrussllc,WE NEED HELP Our INDUSTRY NEEDS HELP Stop wasting time please saveliveevents RestartAct,0,neutral
12/4/2020,13:10:13,davidyuxx1,Davidyuxx,Indiana s small businesses need help now I m committed to ensuring that these critical enterprises survive this time of uncertainty through bills like my RESTARTact RESTARTamerica,-0.125,negative
12/4/2020,12:45:00,sentoddyoung,Senator Todd Young,Indiana s small businesses need help now I m committed to ensuring that these critical enterprises survive this time of uncertainty through bills like my RESTARTact RESTARTamerica,-0.125,negative
12/4/2020,7:05:52,vanceginn,Vance Ginn,Some good points by Mervyn King on how demand isn t the problem now which is why Keynesian stimulus won t work amp doesn t work because supply comes first RESTARTAct is better than what Congress is debating,0.483333333,positive
12/3/2020,13:23:05,congressidiots,Mark Twain Says,RESTARTAct How exactly will a tax break for the 3 martini lunch restart our economy More GOP RedState BlueState bullshit,0.375,positive
12/3/2020,13:11:05,baffld,Baffld,The TRUTH with PROOF This bill was introduced by Sen Bennet D CO on 5 21 20 Perdue was the very last Sen to sign on quote Sponsored the RESTARTAct on 11 30 20 after 58 other by bipartisan senators joined over months ending in 9 20,-0.0625,negative
12/3/2020,12:03:19,tulsafmac,TulsaFMAC,Independent live music needs your help to survive SaveLiveMusic by letting your reps know you support the inclusion of the SaveOurStages Act HITS Act ExtendPUA and the RESTARTAct in the next relief bill by visiting Live,0.068181818,positive
12/3/2020,11:22:05,sendavidperdue,David Perdue,The Paycheck Protection Program has been extraordinarily successful and saved over 1 5 million Georgia jobs I sponsored the bipartisan RESTARTAct to expand PPP and provide additional support to the hardest hit businesses,0.75,positive
12/3/2020,10:10:13,davidyuxx1,Davidyuxx,Every day I hear from Hoosier workers amp small business owners about the dire financial situations they re facing due to no fault of their own We must come together and pass coronavirus relief now including my RESTARTact to provide needed pandemic relief for small businesses,-0.005,negative
12/3/2020,10:06:47,sentoddyoung,Senator Todd Young,Every day I hear from Hoosier workers amp small business owners about the dire financial situations they re facing due to no fault of their own We must come together and pass coronavirus relief now including my RESTARTact to provide needed pandemic relief for small businesses,-0.005,negative
12/3/2020,8:13:26,pyrotecnico,Pyrotecnico,Please keep up the pressure to approve a stimulus package extendPUA restartAct,0,neutral
12/2/2020,17:45:44,5evidences,5Evidences,LET THE MUSIC PLAY redalert wemakeevents redalertRESTART wme liveevents saveourstages restartact broadcast recording concert festival event tvshow liveevents avid protools avidprotools,0.25,positive
12/2/2020,15:28:02,marcelfairbairn,Marcel Fairbairn,The bipartisan COVID deal America urgently needs is now on the table thanks to JoeManchin amp It s time for the leadership to act amp put it to a vote now LetCongressVote redalertrestart restartact passrestart,0.2,positive
12/2/2020,14:45:41,vegas_av_ace,Mike Brown Cestero,URGENT call to action Please WATCH the video SIGN the petition amp SHARE on all your SM platforms redalert liveeventcoalition ProAV smallbusiness restartact avtweeps,0.1,positive
12/2/2020,14:25:03,supportchiarts,Support Chicago Arts,Looking for a unique holiday card Check out these holiday cards printed IN CHICAGO featuring artwork from a Chicago artist All profits go to NIVA amp the RESTARTACT to help support those in the live event space struggling with the pandemic,0.255681818,positive
12/2/2020,10:58:19,embassyholdings,embassy holdings,URGENT CALL TO ACTION 1 Watch the video 2 Sign the petition and 3 SHARE on your social networks restartact avtweeps proav liveeventscoalition redalertrestart redalert liveeventssector businessowners smallbusiness,0.066666667,positive
12/1/2020,22:16:14,isebrand,Isebrand,Pass the RESTARTAct Now,0,neutral
12/1/2020,6:20:42,pyrotecnico,Pyrotecnico,Please join us in telling Congress to pass a meaningful stimulus bill now Watch the video and sign the petition extendPUA restartAct RestartAmerica,0.5,positive
11/28/2020,8:12:28,mattysexton,Matt Sexton,SmallBusinessSaturday Please support small businesses ESPECIALLY those in the entertainment production world We were the first to go and will be the last back No events now Book a future date saveourstages restartact liveeventsco djlife WeMakeEvents,0,neutral
11/26/2020,17:10:03,isebrand,Isebrand,Pass the RESTARTAct now SmallBusiness needs it Per 70 of remaining liveevents amp gatherings businesses won t survive past Feb 1,-0.25,negative
11/26/2020,17:04:58,isebrand,Isebrand,Please pass the RESTARTAct ASAP,0,neutral
11/26/2020,17:04:19,isebrand,Isebrand,Pass the RESTARTAct Now,0,neutral
11/26/2020,16:57:05,isebrand,Isebrand,America needs the RESTARTAct ASAP,0,neutral
11/26/2020,16:56:03,isebrand,Isebrand,Pass the restartact please,0,neutral
11/25/2020,16:20:49,musicfan4891,David T,Congress would you rather deliver something or do nothing and blame your opponents So often seems like the latter to me SaveOurStages RESTARTact,0,neutral
11/24/2020,13:06:53,wemakeevents_na,We Make Events North America,and Adam Valen with the National Independent Venue Association NIVA Discussion focused on the HeroesAct RestartAct ExtendPUA and SaveOurStages along with ideas to support the groups working on these bills actions and initiatives and,0,neutral
11/19/2020,8:02:04,isebrand,Isebrand,In the US and UK alike the plight of small businesses amid this pandemic is desperate dire and more must be done to help them In the US it s long past time for the RestartAct to be passed amp Please help,-0.13,negative
11/18/2020,17:16:43,jarnobrown,Jared Brown,We ve needed something since May The HEROES act was actually passed by the house in May Instead of the Senate voting on that or negotiating aspects of it you think it is better to start over with your RESTARTAct Where are we 6 months later Still Talking,0.166666667,positive
11/18/2020,17:10:11,davidyuxx1,Davidyuxx,Today I joined the s webinar to discuss the impact of the coronavirus on Hoosier small businesses and the digital tools they are utilizing during the pandemic I will continue to push for my RESTARTAct to provide relief for these hardest,-0.125,negative
11/18/2020,16:30:00,sentoddyoung,Senator Todd Young,Today I joined the s webinar to discuss the impact of the coronavirus on Hoosier small businesses and the digital tools they are utilizing during the pandemic I will continue to push for my RESTARTAct to provide relief for these hardest hit small businesses,-0.166666667,negative
11/16/2020,21:07:49,isebrand,Isebrand,amp Please advocate for the passing of the RestartAct sponsored by,0,neutral
11/16/2020,18:53:46,isebrand,Isebrand,Great politicsMonday segment with tonight with amp moderated by Thank you Amna for mentioning the simple objective fact that so many Americans and US businesses could really use relief from Washington RestartAct,0.3,positive
11/16/2020,18:52:26,dominatorfirew1,Dominator Fireworks Liuyang China,Did you know the nightly fireworks in Florida Disney have been canceled for months Disney was the single largest user of fireworks in the world We need to support live events amp professional 1 3g or lose a tradition restartACT WeMakeEvents RedAlertRESTART ExtendPUA,0.054978355,positive
11/16/2020,16:44:41,isebrand,Isebrand,Pass the RestartAct More small businesses needlessly die daily due to a shameful lack of Congressional amp Executive action Please advocate,-0.045833333,negative
11/16/2020,15:06:31,festifiwifi,Festifi,To our events family and friends please join in and share with your network keepeventsalive restartact,0,neutral
11/14/2020,11:09:57,isebrand,Isebrand,Small businesses needed that money Pass the restartAct,-0.25,negative
11/12/2020,17:48:10,pyrotecnico,Pyrotecnico,restartACT,0,neutral
11/12/2020,17:46:39,pyrotecnico,Pyrotecnico,restartAct ExtendPUA,0,neutral
11/12/2020,16:18:44,jewettduncan,Duncan Jewett,RESTARTACT PPP for more than 2 months worth we are 9 months behind SBA has ignored most of us since April It s really bad here The mental health decline is apparent and worrisome Lifeline grants have to happen before years end Someone needs to act We are crying for help,-0.00625,negative
11/12/2020,9:04:52,hvcweddings,HV Ceremonies,saveourweddingindustry restart RestartAct ExtendPUA firsttoshutdownlasttoopen WeMakeEvents RedAlertRESTART SaveOurStages,0,neutral
11/11/2020,20:12:21,hvcweddings,HV Ceremonies,saveourweddingindustry restart RestartAct ExtendPUA firsttoshutdownlasttoopen,0,neutral
11/11/2020,17:00:49,atlaspyrovision,Atlas Fireworks,Senate and House must ACT NOW RESTARTAct,0,neutral
11/11/2020,2:56:46,creativebackstg,Creative BackStage,We need your help to speak for AZ WeMakeEvents ExtendPUA RedAlertRESTART RESTARTAct,0,neutral
11/10/2020,17:28:35,itsdaniellet,Danielle Taylor,RESTARTAct RedAlertRESTART ExtendPUA,0,neutral
11/10/2020,16:12:48,davidyuxx1,Davidyuxx,As Congress reconvenes I will continue to push my RESTARTact which would give businesses like yours access to forgivable loans for up to 6 months of expenses,0,neutral
11/10/2020,15:53:08,sentoddyoung,Senator Todd Young,As Congress reconvenes I will continue to push my RESTARTact which would give businesses like yours access to forgivable loans for up to 6 months of expenses,0,neutral
11/10/2020,15:04:29,originallioness,Adriane Biondo,We agree with you The RestartAct is support for independent venues and small businesses in the entertainment ecosystem that will simply not survive as well as humans whose livelihoods are shutdown due to this pandemic,-0.09375,negative
11/10/2020,14:29:16,ld_drewh,Drew Hornback,We need help to get the RestartACT passed amp we need your support We haven t gotten to work since March and we need help just like the airline and all the other industries that have gotten help Support LiveEvents today,-0.125,negative
11/10/2020,13:53:36,pyrotecnico,Pyrotecnico,RestartAct,0,neutral
11/10/2020,12:07:19,pyrotecnico,Pyrotecnico,We still need help to pass the stimulus package and include the RestartAct redAlertRESTART is Back ExtendPUA ExtendPPP,0,neutral
11/10/2020,11:38:11,louisadamo,Louis Adamo,WeMakeEvents RedAlertRESTART ExtendPUA LiveEventsCo LiveEventsAid RestartAct californiaeventscoalition,0,neutral
11/10/2020,11:04:48,l_acoustics,L Acoustics,With the live events industry largely shut down 9 months into the pandemic L Acoustics is urgently asking you to support the latest RedAlertRestart campaign from RT and contact your local govt rep in support of ExtendPUA ExtendPP and the RestartAct,0.139018759,positive
11/10/2020,11:04:19,ncla_colo,NCLAColorado,addresses the NocoRegionalIssues Summit Bipartisan efforts for COVID recovery and stimulus will include 4 essentials Ramp up public health capacity Assistance to suffering families Assistance to local governments amp Support to small biz RestartAct,-0.083333333,negative
11/9/2020,19:55:22,derektixx,Derek Palmer,saveourstages restartact,0,neutral
11/9/2020,17:29:31,cgsprinting,CGS,RestartAct,0,neutral
11/9/2020,11:10:18,jsquare2000,Semaj,Pass the RESTART Act S 3814 Help small businesses restartact WeMakeEvents USCongress,-0.25,negative
11/9/2020,11:09:00,jsquare2000,Semaj,Pass the RESTART Act S 3814 restartact WeMakeEvents,0,neutral
11/9/2020,4:23:26,jsquare2000,Semaj,Pass the Restart Act 10 million people in the live entertainment industry are without a job Its been 8 months They need your help restartact,0.136363636,positive
11/9/2020,4:23:03,jsquare2000,Semaj,Pass the Restart Act 10 million people in the live entertainment industry are without a job Its been 8 months They need your help restartact,0.136363636,positive
11/9/2020,4:22:41,jsquare2000,Semaj,Pass the Restart Act 10 million people in the live entertainment industry are without a job Its been 8 months They need your help restartact,0.136363636,positive
11/8/2020,10:10:07,davidyuxx1,Davidyuxx,Traveling across Indiana I continue to hear from Hoosiers that local business are suffering due to coronavirus To prevent more closures it s crucial that Congress passes my RESTARTact to save these important pillars of our communities RESTARTameri,0.155,positive
11/8/2020,10:05:08,purpleh2oski,Doug Goodman,is a MAJOR PROBLEM MT Traveling across Indiana I continue to hear from Hoosiers that local business are suffering due to coronavirus Iit s crucial that Congress passes my RESTARTact to save these important pillars of our communities,0.0675,positive
11/8/2020,10:00:00,sentoddyoung,Senator Todd Young,Traveling across Indiana I continue to hear from Hoosiers that local business are suffering due to coronavirus To prevent more closures it s crucial that Congress passes my RESTARTact to save these important pillars of our communities RESTARTamerica,0.155,positive
11/5/2020,17:30:04,livedesignmag,Live Design,Michael T Strickland of shares a 3 prong approach to promote the passage of the RESTARTAct to Congress in November 2020 WeMakeEvents,0,neutral
11/3/2020,12:32:42,cgsprinting,CGS,VOTE In person polls and ballot drop boxes will be open until 8PM tonight Same day registration is also an option in CA wevoted Election2020 electionday vote2020 Ivoted discover661business SCV LosAngeles jerseycity ShopLocal restartact saveourstages,0,neutral
11/3/2020,2:59:45,musicfan4891,David T,I will remember this 116th Congress as the Congress that did nothing for months to save the things I love SaveOurStages RESTARTact,0.5,positive
10/29/2020,17:27:39,aic_tweets,American Influencer Council,Nov 3 is on the horizon It s important to vote for officials determined to help smallbusiness including creators understands this And that s why we signed his letter urging for the passing of RESTARTAct Get the full details SMB,0.375,positive
10/29/2020,15:01:59,musicfan4891,David T,Senator why have you not supported the RESTART Act introduced by that would provide desperately needed relief to thousands of crippled small businesses across the country RESTARTact,-0.425,negative
10/29/2020,11:11:43,musicfan4891,David T,Include the RESTART Act in the COVID relief package So many of the hardest hit unable to operate small businesses need the RESTARTact,-0.083333333,negative
10/29/2020,9:35:34,athenaeumtheatr,Athenaeum Theatre,Until we can have events that look like this organizations are on the brink of shutting down millions are jobless with no experience in other arenas and more Please consider buying an item from Tiny Guide Collection amp support SAVEOURSTAGES amp RESTARTAct,0.054861111,positive
10/28/2020,16:32:05,musicfan4891,David T,Senator Harris regardless of Senate Republicans actions I would have really appreciated hearing more from YOU my Senator about the RESTART Act which provides critical aid to beloved theaters venues and other small businesses that have been crippled by COVID 19 RESTARTact,0.170833333,positive
10/28/2020,16:29:48,musicfan4891,David T,Very disappointed in Senator McConnell but also you Speaker Pelosi neither of you have supported the bipartisan RESTART Act which would provide aid to so many of our beloved small businesses theaters venues and more To anyone reading look up the RESTARTact,0.095,positive
10/28/2020,15:03:11,musicfan4891,David T,Support the RESTART Act Speaker So many of our beloved businesses need aid while they can t operate please RESTARTact RESTARTamerica SaveLiveEvents SaveLiveMusic SaveOurStages DoNotAbandonUs WeMakeEvents,0.6,positive
10/28/2020,12:48:59,musicfan4891,David T,Senator I m looking forward to a future where the things I love are safe You cosponsor the RESTART Act which provides aid to our hardest hit small businesses theaters venues etc When will you speak up for our beloved establishments and push Congress to pass the RESTARTact,0.29,positive
10/27/2020,20:07:34,musicfan4891,David T,Support the RESTARTact Senator please,0,neutral
10/27/2020,18:35:49,musicfan4891,David T,If she mentioned RESTART in the debate I appreciate that Still very few people are talking about this on Twitter Partially because this is not an easy thing to explain But the RESTARTact is designed for the hardest hit small businesses and establishments like theaters etc,-0.044166667,negative
10/27/2020,18:08:34,musicfan4891,David T,I d like to know why Senator Schumer doesn t yet support the RESTART Act which would provide desperately needed aid to the thousands of hardest hit small businesses and establishments across America Beloved cherished establishments are in grave danger RESTARTact,-0.05,negative
10/27/2020,17:58:46,musicfan4891,David T,The GOP bill does not contain the RESTARTact as far as I know CR Are you familiar with RESTART Please look it up PPP loans do not work for many small businesses RESTART fixes this Many of our favorite places and establishments are in danger Help,0.2875,positive
10/27/2020,15:10:01,musicfan4891,David T,What about justice for all of our beloved businesses establishments theaters venues and gathering spaces that are in grave danger of failing after nearly eight months of not being able to run their business They do not deserve this and they need the RESTART Act RESTARTact,0.433333333,positive
10/27/2020,15:07:07,musicfan4891,David T,Many thousands of small businesses have been closed since March Senator and need aid will simply go under You support the RESTART Act please talk about it Millions are depending on this DoNotAbandonUS RESTARTact,0.0375,positive
10/27/2020,14:54:56,musicfan4891,David T,What will you do for America s suffering small businesses Will you support the bipartisan RESTART Act Anyone reading this please look up RESTART and tell your representatives to pass the RESTARTact,-0.25,negative
10/26/2020,20:38:21,musicfan4891,David T,Please support s RESTART Act Speaker before it s too late Today s turn of events has been unfortunate but let s move forward and take positive action to help suffering Americans Please include the RESTARTact in the COVID relief package protect small businesses,-0.144545455,negative
10/26/2020,20:14:09,musicfan4891,David T,Please support the RESTART Act Speaker Include s RESTARTact in the relief package and support America s suffering small businesses please Eight months of making NO money due to COVID They need help now DoNotAbandonUS SaveLiveEvents,-0.1875,negative
10/26/2020,19:31:38,musicfan4891,David T,I don t think he cares either but neither McConnell nor McCarthy in the House supports the RESTARTact either Which is crazy because RESTART has 56 Senate cosponsors and a lot in the House too Very frustrating Please look up the RESTART Act if you re not familiar,-0.435833333,negative
10/26/2020,19:24:11,musicfan4891,David T,Please speak up for the RESTART Act which you cosponsor Senator Yes there s lots of anger and frustration but we can still be proactive about a lot of things We still need relief Senator for many of us the RESTARTact specifically Don t let COVID decimate so much,1.85E-17,positive
10/26/2020,18:42:27,musicfan4891,David T,Please support America s small businesses Senator the consequence of not passing the RESTARTact is that when COVID is over when social distancing is no more for many of us our cherished community gathering spaces may be long gone DoNotAbandonUS,-0.003333333,negative
10/26/2020,18:37:45,musicfan4891,David T,Please also stand up for America s small businesses and the RESTART Act if thousands of beloved establishments must close their doors for a year or more they need financial assistance RESTART provides this We all want relief but many of us specifically need the RESTARTact,0.29,positive
10/26/2020,18:26:02,musicfan4891,David T,Support the RESTART Act Senator I wish you would cosponsor RESTART like you cosponsored Save Our Stages More than just concert venues have been shuttered for eight months earning zero dollars Congress must pass the RESTART Act before more beloved businesses fall RESTARTact,0.566666667,positive
10/26/2020,16:53:41,musicfan4891,David T,It s amazing how the RESTART Act has pretty broad support in both chambers across both sides of the aisles yet no Congressional leader has cosponsored the RESTARTact so disappointing,0.078125,positive
10/26/2020,15:53:38,vanessa47523203,vanessa,WE ARE THE ECONOMY YOUR BELOVED STOCK MARKET IS GOING DOWN STIMULUS PACKAGE RELIEF NOW MILLIONS ARE IN THE VERGE OF HOMELESSNESS RESTARTact GOPCorruptionOverCountry,0.272222222,positive
10/26/2020,15:53:30,vanessa47523203,vanessa,WE ARE THE ECONOMY YOUR BELOVED STOCK MARKET IS GOING DOWN STIMULUS PACKAGE RELIEF NOW MILLIONS ARE IN THE VERGE OF HOMELESSNESS RESTARTact GOPCorruptionOverCountry,0.272222222,positive
10/26/2020,15:50:53,vanessa47523203,vanessa,WE ARE THE ECONOMY YOUR BELOVED STOCK MARKET IS GOING DOWN STIMULUS PACKAGE RELIEF NOW MILLIONS ARE IN THE VERGE OF HOMELESSNESS RESTARTact GOPCorruptionOverCountry,0.272222222,positive
10/26/2020,15:40:02,vanessa47523203,vanessa,WE ARE THE ECONOMY YOUR BELOVED STOCK MARKET IS GOING DOWN STIMULUS PACKAGE RELIEF NOW MILLIONS ARE IN THE VERGE OF HOMELESSNESS RESTARTact GOPCorruptionOverCountry,0.272222222,positive
10/26/2020,15:39:43,vanessa47523203,vanessa,WE ARE THE ECONOMY YOUR BELOVED STOCK MARKET IS GOING DOWN STIMULUS PACKAGE RELIEF NOW MILLIONS ARE IN THE VERGE OF HOMELESSNESS RESTARTact GOPCorruptionOverCountry,0.272222222,positive
10/26/2020,15:38:34,vanessa47523203,vanessa,WE ARE THE ECONOMY YOUR BELOVED STOCK MARKET IS GOING DOWN STIMULUS PACKAGE RELIEF NOW MILLIONS ARE IN THE VERGE OF HOMELESSNESS RESTARTact GOPCorruptionOverCountry,0.272222222,positive
10/26/2020,15:37:38,vanessa47523203,vanessa,WE ARE THE ECONOMY YOUR BELOVED STOCK MARKET IS GOING DOWN STIMULUS PACKAGE RELIEF NOW MILLIONS ARE IN THE VERGE OF HOMELESSNESS RESTARTact GOPCorruptionOverCountry,0.272222222,positive
10/26/2020,15:07:08,vanessa47523203,vanessa,WE ARE THE ECONOMY YOUR BELOVED STOCK MARKET IS GOING DOWN STIMULUS PACKAGE RELIEF NOW MILLIONS ARE IN THE VERGE OF HOMELESSNESS RESTARTact GOPCorruptionOverCountry,0.272222222,positive
10/26/2020,15:06:43,vanessa47523203,vanessa,WE ARE THE ECONOMY YOUR BELOVED STOCK MARKET IS GOING DOWN STIMULUS PACKAGE RELIEF NOW MILLIONS ARE IN THE VERGE OF HOMELESSNESS RESTARTact GOPCorruptionOverCountry,0.272222222,positive
10/26/2020,15:06:35,vanessa47523203,vanessa,WE ARE THE ECONOMY YOUR BELOVED STOCK MARKET IS GOING DOWN STIMULUS PACKAGE RELIEF NOW MILLIONS ARE IN THE VERGE OF HOMELESSNESS RESTARTact GOPCorruptionOverCountry,0.272222222,positive
10/26/2020,14:48:55,vanessa47523203,vanessa,AID NOW ShareYourStory ReliefNow LOSING my business car amp home I m high risk pregnancy with a teenage daughter PLS REACH AN AGREEMENT NoSkinnyBill RESTARTact,0.08,positive
10/26/2020,14:46:13,vanessa47523203,vanessa,WE ARE THE ECONOMY YOUR BELOVED STOCK MARKET IS GOING DOWN STIMULUS PACKAGE RELIEF NOW MILLIONS ARE IN THE VERGE OF HOMELESSNESS RESTARTact GOPCorruptionOverCountry,0.272222222,positive
10/26/2020,14:44:25,vanessa47523203,vanessa,COVID IS RISING STOP TRYING TO LIE TO US SIGN A DAMN EXECUTIVE STIMULUS CHECK ATLEAST DO THAT MILLIONS ARE STRUGGLING THIS IS INHUMANE GOPCorruptionOverCountry GOPBetrayedAmerica RESTARTact,-0.9,negative
10/26/2020,14:36:00,vanessa47523203,vanessa,WE ARE THE ECONOMY YOUR BELOVED STOCK MARKET IS GOING DOWN STIMULUS PACKAGE RELIEF NOW MILLIONS ARE IN THE VERGE OF HOMELESSNESS RESTARTact GOPCorruptionOverCountry,0.272222222,positive
10/26/2020,14:27:52,vanessa47523203,vanessa,AID NOW ShareYourStory RESTARTact ReliefNow LOSING my business car amp home I m high risk pregnancy with a teenage daughter PLS REACH AN AGREEMENT NoSkinnyBill,0.08,positive
10/26/2020,14:07:57,musicfan4891,David T,Please tell your followers why you cosponsored the RESTART Act and why Congress must pass the RESTARTact ASAP along with other pandemic relief RESTART will protect our America s hardest hit small businesses beloved theaters venues and more that are on the verge of collapse,0.20625,positive
10/26/2020,10:58:56,vanessa47523203,vanessa,WE ARE THE MARKET SIGN PACKAGE RELIEF TODAY YOUR BELOVED MARKET IS GOING DOWN COVID IS RISING amp MILLIONS ARE SUFFERING GOPBetrayedAmerica GOPHypocrisy RESTARTact,0.272222222,positive
10/26/2020,10:44:33,musicfan4891,David T,Please support the RESTART Act It s Oct 26 and our beloved theaters venues their vendors etc have been running on fumes since mid March More closing every day Please RESTARTamerica we are desperate RESTARTact,0.15,positive
10/26/2020,10:42:28,musicfan4891,David T,Congress pass the RESTART Act now RESTARTamerica RESTARTact RedAlertRESTART SaveLiveEvents SaveLiveMusic SaveOurStages DoNotAbandonUS ExtendPUA,0,neutral
